Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
C1orf43	-	0.57	adipose	0.43	lymphNode	1.00	NA	chr1	154219835	154219937	chr1:152458936-152459037:-
IL6R	+	0.25	HME	1	colon	0.76	interleukin 6 receptor isoform 2 precursor	chr1	154435968	154436110	chr1:152675069-152675210:+
SHC1	-	0.29	cerebellum	0.71	BT474	1.00	SHC (Src homology 2 domain containing),SHC (Src	chr1	154968203	154968257	chr1:153207304-153207357:-
RP11-307C12.7	+	0.49	breast	1	lymphNode	0.51	flavin adenine dinucleotide synthetase isoform,flavin	chr1	154989559	154989707	chr1:153228660-153228807:+
ADAM15	+	0.36	HME	0.51	adipose	0.87	a disintegrin and metalloproteinase domain 15,a disi	chr1	155061414	155061489	chr1:153300515-153300589:+
ADAM15	+	0.69	T47D	0.77	testes	0.08	a disintegrin and metalloproteinase domain 15,a disi	chr1	155061903	155061975	chr1:153301004-153301075:+
ADAM15	+	0.98	cerebellum	1	adipose	0.02	a disintegrin and metalloproteinase domain 15,a disi	chr1	155061903	155062117	chr1:153301004-153301217:+
EFNA1	+	0.27	BT474	0.73	adipose	1.00	ephrin A1 isoform a precursor,ephrin A1 isoform b p	chr1	155133502	155133568	chr1:153372603-153372668:+
RAG1AP1,RP11-54	+	0.31	MB435	0.69	colon	1.00	stromal cell protein,Novel protein.,	chr1	155136827	155136951	chr1:153375928-153376051:+
RAG1AP1,RP11-54	+	0.55	HME	0.46	colon	1.00	stromal cell protein,Novel protein.,	chr1	155137560	155137722	chr1:153376661-153376822:+
C1orf2	-	0.33	T47D	1	adipose	0.67	hypothetical protein LOC10712 isoform a,Homo sap	chr1	155254083	155254194	chr1:153490499-153490609:-
SCAMP3	-	0.49	cerebellum	1	colon	0.51	secretory carrier membrane protein 3 isoform 1,secr	chr1	155261656	155261734	chr1:153498072-153498149:-
CLK2	-	0.44	BT474	0.57	colon	1.00	CDC-like kinase 2,CDC-like kinase 2 isoform 2,CDC	chr1	155268707	155268792	chr1:153505123-153505207:-
CLK2	-	0.38	BT474	0.62	adipose	1.00	CDC-like kinase 2,CDC-like kinase 2 isoform 2,CDC	chr1	155268707	155268795	chr1:153505123-153505210:-
FDPS	+	0.25	cerebellum	1	MB435	0.75	farnesyl diphosphate synthase,Farnesyl pyrophosph	chr1	155319793	155319928	chr1:153556209-153556343:+
FDPS	+	0.45	cerebellum	1	MB435	0.55	farnesyl diphosphate synthase,Farnesyl pyrophosph	chr1	155319856	155319928	chr1:153556272-153556343:+
YY1AP1	-	0.32	cerebellum	1	BT474	0.68	YY1-associated protein isoform 3,YY1-associated p	chr1	155688070	155688201	chr1:153924486-153924616:-
DAP3	+	0.31	breast	0.69	BT474	1.00	death-associated protein 3,death-associated protein	chr1	155717005	155717128	chr1:153953421-153953543:+
DAP3	+	0.27	HME	1	T47D	0.73	death-associated protein 3,death-associated protein	chr1	155729041	155729122	chr1:153965457-153965537:+
RIT1	-	0.45	MCF7	0.55	BT474	1.00	Ras-like without CAAX 1	chr1	155910655	155910804	chr1:154147071-154147219:-
C1orf85,AF086351,	-	0.53	BT474	1	testes	0.47	kidney predominant protein NCU-G1,kidney predomi	chr1	156294758	156295016	chr1:154531174-154531431:-
MEF2D	-	0.98	adipose	0.02	skelMuscle	1.00	MADS box transcription enhancer factor 2,,MADS b	chr1	156476493	156476514	chr1:154712910-154712930:-
GPATCH4	-	0.27	MCF7	1	skelMuscle	0.73	G patch domain containing 4 isoform 2,G patch dom	chr1	156598034	156598121	chr1:154834451-154834537:-
RP11-66D17.7-007	+	0.65	cerebellum	1	skelMuscle	0.35	hypothetical protein LOC51093	chr1	156734008	156734493	chr1:154970425-154970909:+
ARHGEF11,ARHGE	-	0.97	cerebellum	1	MCF7	0.03	Rho guanine nucleotide exchange factor (GEF) 11,R	chr1	156938417	156938513	chr1:155174834-155174929:-
EFHD2	+	0.46	T47D	1	lymphNode	0.54	EF hand domain family, member D2	chr1	15427149	15427284	chr1:15626233-15626367:+
PEX19	-	0.7	T47D	0.97	lymphNode	0.27	peroxisomal biogenesis factor 19,Peroxisomal bioge	chr1	160283529	160283639	chr1:158519944-158520053:-
NCSTN	+	0.3	cerebellum	1	heart	0.70	Nicastrin precursor.,nicastrin precursor,	chr1	160357040	160357253	chr1:158593455-158593667:+
PLEKHM2	+	0.5	brain	0.48	skelMuscle	0.99	Pleckstrin homology domain containing, family M (W	chr1	15721328	15721388	chr1:15920411-15920470:+
F11R	-	0.72	breast	1	MCF7	0.28	NA	chr1	161038550	161038673	chr1:159274965-159275087:-
F11R	-	0.83	breast	1	MCF7	0.17	F11 receptor isoform a precursor,F11 receptor isofor	chr1	161038550	161038694	chr1:159274965-159275108:-
USP21	+	0.48	T47D	0.63	colon	0.15	ubiquitin-specific protease 21,ubiquitin-specific prote	chr1	161160328	161160506	chr1:159396743-159396920:+
USP21	+	0.52	T47D	0.69	colon	0.17	ubiquitin-specific protease 21,ubiquitin-specific prote	chr1	161160365	161160506	chr1:159396780-159396920:+
PPOX	+	0.25	cerebellum	1	adipose	0.75	protoporphyrinogen oxidase,Homo sapiens cDNA FL	chr1	161167338	161167486	chr1:159403753-159403900:+
NDUFS2	+	0.41	breast	1	lymphNode	0.59	NADH dehydrogenase (ubiquinone) Fe-S protein 2,,	chr1	161203436	161203543	chr1:159439851-159439957:+
FCER1G	+	0.34	breast	1	lymphNode	0.67	Fc fragment of IgE, high affinity I, receptor,Fc fragm	chr1	161217985	161218077	chr1:159454400-159454491:+
BC044624,PBX1	+	0.4	brain	1	testes	0.60	pre-B-cell leukemia transcription factor 1,Pre-B-cell l	chr1	164820071	164820184	chr1:163055933-163056045:+
UCK2	+	0.27	cerebellum	0.73	MCF7	1.00	uridine-cytidine kinase 2	chr1	165903181	165903279	chr1:164139043-164139140:+
C1orf144,RP11-430	+	0.67	cerebellum	0.87	lymphNode	0.20	putative MAPK activating protein PM20,PM21,Putati	chr1	16391374	16391424	chr1:16590457-16590506:+
PZR,MPZL1	+	0.27	adipose	0.74	colon	1.00	myelin protein zero-like 1 isoform a,myelin protein z	chr1	167776063	167776166	chr1:166011925-166012027:+
IQWD1	+	0.38	heart	0.62	skelMuscle	1.00	IQ motif and WD repeats 1 isoform a,IQ motif and W	chr1	168015780	168015951	chr1:166251643-166251813:+
IQWD1	+	0.39	skelMuscle	0.9	testes	0.52	IQ motif and WD repeats 1 isoform a,IQ motif and W	chr1	168022987	168023047	chr1:166258850-166258909:+
NECAP2	+	0.27	breast	1	MCF7	0.73	adaptin-ear-binding coat-associated protein 2,adapt	chr1	16455817	16455893	chr1:16654900-16654975:+
FLJ00313	-	0.46	T47D	0.76	lymphNode	0.30	Homo sapiens mRNA for FLJ00313 protein.,Homo s	chr1	16643027	16643145	chr1:16842110-16842227:-
FMO3	+	0.29	adipose	0.71	liver	1.00	flavin containing monooxygenase 3 isoform 1,flavin	chr1	171114006	171114362	chr1:169349771-169350126:+
BAT2D1,KIAA1096	+	0.7	T47D	1	testes	0.30	HBxAg transactivated protein 2,Homo sapiens mRN	chr1	171589368	171589605	chr1:169825131-169825367:+
KIAA0859,AK09481	+	0.44	cerebellum	1	HME	0.56	CGI-01 protein isoform 1,CGI-01 protein isoform 2,C	chr1	171781987	171782120	chr1:170017751-170017883:+
KIAA0859,AK09481	+	0.33	breast	1	adipose	0.67	CGI-01 protein isoform 1,CGI-01 protein isoform 2,C	chr1	171790451	171790616	chr1:170026215-170026379:+
CROCC,KIAA0445	+	0.52	cerebellum	0.73	adipose	0.21	ciliary rootlet coiled-coil, rootletin,ciliary rootlet coiled	chr1	16971464	16971626	chr1:17170547-17170708:+
CROCC,KIAA0445	+	0.53	cerebellum	0.75	adipose	0.21	ciliary rootlet coiled-coil, rootletin,ciliary rootlet coiled	chr1	16971464	16971647	chr1:17170547-17170729:+
MFAP2	-	0.3	MB435	1	adipose	0.70	microfibrillar-associated protein 2 precursor,microfib	chr1	16977108	16977198	chr1:17176191-17176280:-
ATP13A2,DKFZp76	-	0.36	cerebellum	1	BT474	0.65	ATPase type 13A2,ATPase type 13A2,Cation-transp	chr1	16993628	16993835	chr1:17192711-17192917:-
KLHL20	+	0.25	breast	1	BT474	0.75	kelch-like 20,KLHL20 protein.,	chr1	173774304	173774438	chr1:172010067-172010200:+
GNB1	-	0.41	adipose	1	colon	0.59	guanine nucleotide-binding protein, beta-1	chr1	1839189	1839238	chr1:1760489-1760537:-
TOR3A	+	0.25	MCF7	0.75	HME	1.00	torsin family 3, member A,Torsin-3A precursor (Tors	chr1	179082939	179083053	chr1:177318698-177318811:+
TOR3A	+	0.36	MB435	1	testes	0.64	torsin family 3, member A,Torsin-3A precursor (Tors	chr1	179085627	179085893	chr1:177321386-177321651:+
IFRG15,TOR1AIP2	-	0.37	T47D	1	adipose	0.63	interferon responsive gene 15,torsin A interacting pr	chr1	179877238	179877373	chr1:178112997-178113131:-
MR1B	+	0.55	T47D	0.45	lymphNode	1.00	MHC class I related protein 1 isoform B (Major histoc	chr1	181052234	181052510	chr1:179287994-179288269:+
SMG7	+	0.99	cerebellum	1	MB435	0.01	SMG-7 homolog isoform 1,SMG-7 homolog isoform	chr1	183547102	183547252	chr1:181782861-181783010:+
TROVE2,CR607999	+	0.49	breast	0.51	MCF7	1.00	60kD Ro/SSA autoantigen isoform 2,TROVE domain	chr1	193069033	193069634	chr1:191304787-191305387:+
PQLC2	+	0.41	MCF7	0.6	T47D	1.00	PQ loop repeat containing 2 isoform 1,PQ loop repea	chr1	19312728	19312889	chr1:19511810-19511970:+
ASPM	-	0.53	MCF7	1	T47D	0.47	asp (abbreastal spindle)-like, microcephaly,asp (abb	chr1	197100430	197105185	chr1:195336184-195340938:-
CAPZB	-	0.92	heart	1	testes	0.08	F-actin capping protein beta subunit	chr1	19342751	19342864	chr1:19541833-19541945:-
RNPEP	+	0.27	cerebellum	0.73	breast	1.00	arginyl aminopeptidase (aminopeptidase B),Homo s	chr1	201997318	201997554	chr1:200233070-200233305:+
BX537745,ATP2B4	+	0.92	cerebellum	1	adipose	0.08	plasma membrane calcium ATPase 4 isoform 4a,Ho	chr1	203733222	203733400	chr1:201968974-201969151:+
ZC3H11A	+	0.58	MCF7	0.42	adipose	1.00	zinc finger CCCH-type containing 11A,zinc finger C	chr1	203796292	203796496	chr1:202032044-202032247:+
ZC3H11A	+	0.63	MCF7	0.37	adipose	1.00	zinc finger CCCH-type containing 11A,zinc finger C	chr1	203796292	203796601	chr1:202032044-202032352:+
PLA2G5	+	0.43	heart	0.54	testes	0.97	phospholipase A2, group V precursor,Homo sapiens	chr1	20089788	20089895	chr1:20288869-20288975:+
RAB7L1	-	0.3	cerebellum	1	breast	0.70	RAB7, member RAS oncogene family-like 1,RAB7,	chr1	205774832	205775086	chr1:204010584-204010837:-
LGTN	-	0.28	breast	1	heart	0.72	ligatin	chr1	206599462	206599612	chr1:204839440-204839589:-
CD46,Y07713	+	0.43	HME	0.82	adipose	0.39	CD46 antigen, complement regulatory protein,CD46	chr1	207767778	207767823	chr1:206007747-206007791:+
CD46,Y07713	+	0.3	BT474	0.01	HME	0.31	CD46 antigen, complement regulatory protein,CD46	chr1	207790252	207790345	chr1:206030221-206030313:+
PRKCZ	+	0.58	cerebellum	0.05	testes	0.64	protein kinase C, zeta isoform 1,protein kinase C, ze	chr1	2145388	2145511	chr1:2066688-2066810:+
KIAA1343	+	0.5	MCF7	1	adipose	0.50	Homo sapiens mRNA for KIAA1343 protein, partial c	chr1	211312719	211312961	chr1:209552685-209552926:+
DKFZp434I0612	-	0.67	adipose	0.1	lymphNode	0.77	Homo sapiens HP1-BP74 protein mRNA, complete c	chr1	20780344	20780540	chr1:20979425-20979620:-
NENF	+	0.34	cerebellum	0.66	HME	1.00	SCIRP10-related protein	chr1	212442545	212442625	chr1:210682511-210682590:+
NENF	+	0.3	cerebellum	0.7	HME	1.00	SCIRP10-related protein	chr1	212442564	212442625	chr1:210682530-210682590:+
RP11-275G3.2	-	0.85	cerebellum	0.15	HME	1.00	Hypothetical protein (Novel protein).	chr1	213013092	213013418	chr1:211253058-211253383:-
HSKM-B	+	0.31	breast	0.69	BT474	1.00	Homo sapiens HSKM-B (HSKM-B) mRNA, complete	chr1	214305186	214305250	chr1:212545153-212545216:+
USP48	-	0.3	cerebellum	1	HME	0.70	ubiquitin specific protease 48 isoform a,ubiquitin spe	chr1	21723897	21724095	chr1:21922978-21923175:-
DUSP10	-	0.58	cerebellum	1	lymphNode	0.42	dual specificity phosphatase 10 isoform a,dual specif	chr1	221738933	221739787	chr1:219978899-219979752:-
HSPG2	-	0.27	colon	0.86	testes	0.60	Homo sapiens mRNA for Basement membrane-spe	chr1	21888667	21888718	chr1:22087748-22087798:-
CDC42	+	0.5	breast	0.52	skelMuscle	0.03	cell division cycle 42 isoform 1,cell division cycle 42	chr1	22074093	22074219	chr1:22273174-22273299:+
LBR	-	0.28	BT474	1	colon	0.72	lamin B receptor,lamin B receptor,	chr1	225410290	225410416	chr1:223664616-223664741:-
DKFZp686M10160,	+	0.43	cerebellum	1	heart	0.57	chromosome 1 open reading frame 142,	chromosom	chr1	227747691	227748233	chr1:226002016-226002557:+
MRPL55	-	0.78	breast	1	BT474	0.22	mitochondrial ribosomal protein L55 isoform a,mitoc	chr1	228108436	228109021	chr1:226362761-226363345:-
DKFZp666D023,GU	+	0.85	MCF7	0.15	heart	1.00	guanylate kinase 1,guanylate kinase 1,Homo sapien	chr1	228141123	228141288	chr1:226395448-226395612:+
DKFZp666D023,GU	+	0.92	MCF7	0.08	heart	1.00	guanylate kinase 1,guanylate kinase 1,Homo sapien	chr1	228141123	228141507	chr1:226395448-226395831:+
DKFZp666D023,GU	+	0.32	cerebellum	1	skelMuscle	0.68	guanylate kinase 1,guanylate kinase 1,Homo sapien	chr1	228148370	228148456	chr1:226402695-226402780:+
DKFZp666D023,GU	+	0.32	cerebellum	1	MB435	0.68	guanylate kinase 1,guanylate kinase 1,Homo sapien	chr1	228148370	228148539	chr1:226402695-226402863:+
C1QC	+	0.25	breast	1	lymphNode	0.75	complement component 1, q subcomponent, gamm	chr1	22644010	22644204	chr1:22843091-22843284:+
RP4-659I19.2	+	0.31	cerebellum	1	lymphNode	0.69	hypothetical protein LOC84284	chr1	232969908	232970118	chr1:231172278-231172487:+
AOF2	+	0.31	cerebellum	0.56	HME	0.87	amine oxidase (flavin containing) domain 2	chr1	23044426	23044486	chr1:23243507-23243566:+
RBM34	-	0.29	BT474	0.71	MB435	1.00	RNA binding motif protein 34,Homo sapiens mRNA;	chr1	235160510	235160647	chr1:233390449-233390585:-
LGALS8	+	0.73	BT474	0.28	testes	1.00	NA	chr1	236542914	236543040	chr1:234772838-234772963:+
HNRPR	-	0.28	cerebellum	1	heart	0.72	heterogeneous nuclear ribonucleoprotein R,heterog	chr1	23333517	23333631	chr1:23532598-23532711:-
HNRPR	-	0.44	cerebellum	0.77	MB435	0.33	heterogeneous nuclear ribonucleoprotein R,heteroge	chr1	23340851	23341017	chr1:23539932-23540097:-
TCEA3	-	0.25	T47D	0.75	liver	1.00	transcription elongation factor A (SII), 3	chr1	23419076	23419139	chr1:23618157-23618219:-
C1orf128	+	0.46	cerebellum	1	lymphNode	0.54	thioredoxin family Trp26	chr1	23779437	23779481	chr1:23978515-23978558:+
OPN3	-	0.52	HME	1	brain	0.48	opsin 3 isoform 1,opsin 3 isoform 3,	chr1	241604259	241604579	chr1:239834185-239834504:-
OPN3	-	0.3	BT474	0.84	brain	0.54	opsin 3 isoform 1,opsin 3 isoform 3,	chr1	241604419	241604579	chr1:239834345-239834504:-
GALE	-	0.43	BT474	0.57	MB435	1.00	UDP-galactose-4-epimerase,Homo sapiens cDNA F	chr1	23796508	23796586	chr1:23995586-23995663:-
GALE	-	0.58	BT474	0.42	T47D	1.00	UDP-galactose-4-epimerase,Homo sapiens cDNA F	chr1	23798886	23799012	chr1:23997964-23998089:-
AK026365,C1orf71	+	0.28	cerebellum	1	BT474	0.72	hypothetical protein LOC163882,Homo sapiens cDN	chr1	246591511	246591941	chr1:244821437-244821866:+
DKFZp686E22155,	+	0.3	breast	1	MCF7	0.70	NIPA-like domain containing 3,Hypothetical protein	chr1	24419290	24419640	chr1:24618368-24618717:+
SRRM1	+	0.79	cerebellum	1	lymphNode	0.22	serine/arginine repetitive matrix 1	chr1	24663182	24663224	chr1:24862261-24862302:+
TMEM50A	+	0.37	adipose	1	brain	0.63	small membrane protein 1	chr1	25352881	25352974	chr1:25551960-25552052:+
TMEM57	+	0.28	liver	0.72	skelMuscle	1.00	transmembrane protein 57	chr1	25456652	25456831	chr1:25655731-25655909:+
UBXD5,RP11-569G	-	0.67	cerebellum	0.11	testes	0.78	socius isoform 1,socius isoform 3,socius isoform 1,S	chr1	26300925	26301024	chr1:26500004-26500102:-
UBXD5,RP11-569G	-	0.6	cerebellum	0.08	testes	0.68	socius isoform 1,socius isoform 3,socius isoform 1,S	chr1	26300925	26301053	chr1:26500004-26500131:-
UBXD5,RP11-569G	-	0.32	MB435	0.68	T47D	1.00	socius isoform 1,socius isoform 3,socius isoform 1,S	chr1	26302812	26302918	chr1:26501891-26501996:-
PIGV	+	0.46	cerebellum	1	MCF7	0.54	phosphatidylinositol glycan class V,Homo sapiens cD	chr1	26794112	26795234	chr1:26993191-26994312:+
DKFZp564D0478,C	+	0.66	lymphNode	0.85	testes	0.19	Homo sapiens hypothetical protein SB71 mRNA, co	chr1	27330984	27331137	chr1:27530063-27530215:+
AHDC1	-	0.37	breast	1	testes	0.64	Homo sapiens cDNA clone IMAGE:5588836, **** W	chr1	27558304	27558530	chr1:27757403-27757628:-
C1orf38	+	0.55	breast	1	testes	0.46	Induced by contact to basement membrane 1 protei	chr1	27881970	27883043	chr1:28081069-28082141:+
SESN2	+	0.25	breast	1	skelMuscle	0.75	sestrin 2	chr1	28273357	28273508	chr1:28472456-28472606:+
SNHG3-RCC1	+	0.47	MCF7	0.22	HME	0.69	regulator of 	chromosome condensation 1 isoform,reg	chr1	28530522	28530573	chr1:28729622-28729672:+
YTHDF2	+	0.29	cerebellum	1	liver	0.71	high glucose-regulated protein 8,high glucose-regul	chr1	28742402	28743986	chr1:28941502-28943085:+
EPB41	+	0.66	cerebellum	0.34	BT474	1.00	erythrocyte membrane protein band 4.1,erythrocyte	chr1	29096154	29096604	chr1:29295254-29295703:+
PUM1	-	0.25	cerebellum	0.75	breast	1.00	pumilio 1 isoform 1,pumilio 1 isoform 2,pumilio 1 isof	chr1	30941997	30942123	chr1:31187432-31187557:-
PUM1	-	0.45	breast	1	colon	0.55	pumilio 1 isoform 1,pumilio 1 isoform 2,pumilio 1 isof	chr1	30964673	30964910	chr1:31210108-31210344:-
TINAGL1	+	0.34	breast	1	T47D	0.66	P3ECSL,P3ECSL,	chr1	31577099	31577458	chr1:31815288-31815646:+
TINAGL1	+	0.32	breast	1	T47D	0.68	P3ECSL,P3ECSL,	chr1	31577133	31577458	chr1:31815322-31815646:+
AX747565,PEF1	-	0.27	cerebellum	1	testes	0.73	penta-EF hand domain containing 1,penta-EF hand	chr1	31635221	31635522	chr1:31873410-31873710:-
COL16A1	-	0.26	adipose	0.16	colon	0.43	alpha 1 type XVI collagen precursor,alpha 1 type XV	chr1	31679803	31679851	chr1:31917992-31918039:-
BAI2,BAI	-	0.7	cerebellum	0.3	T47D	1.00	brain-specific angiogenesis inhibitor 2,brain-specific	chr1	31744192	31744357	chr1:31982381-31982545:-
SPOCD1,BC06925	-	0.52	T47D	0.75	testes	0.23	SPOC domain containing 1,SPOC domain containin	chr1	31813950	31815372	chr1:32052139-32053560:-
